IP,Severity,MITRE,Reportes,Primer visto,Expira en,País
162.216.150.7,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,US
165.154.138.3,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,DE
45.139.122.80,HIGH,Initial Access · T1190 · T1190,1539,2026-05-22,2026-07-20,NL
45.227.254.156,MANUAL,Manual: Falso positivo: regla requiere ajuste (ver detalle),1924,2026-06-14,2026-07-18,PA
20.163.32.0,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,US
186.246.47.50,HIGH,Execution · T1203 · T1203,1033,2026-07-09,2026-08-02,NL
34.140.172.217,HIGH,Initial Access · T1566 · T1566,927,2026-07-09,2026-08-02,BE
72.14.178.148,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,US
35.240.27.47,HIGH,Initial Access · T1566 · T1566,927,2026-07-09,2026-08-02,BE
34.65.62.43,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,CH
34.38.72.238,HIGH,Initial Access · T1566 · T1566,927,2026-07-09,2026-08-02,BE
153.117.37.40,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,PK
110.38.247.4,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,PK
153.117.6.146,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,PK
42.227.7.216,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,CN
34.156.35.72,MANUAL,"Manual: Watchlist desde caso 1651aab4 (HIGH, Initial Access)",840,2026-06-27,2026-07-20,BE
34.38.144.131,MANUAL,"Manual: Watchlist desde caso c22e55ea (HIGH, Initial Access)",840,2026-06-27,2026-07-20,BE
34.38.57.131,MANUAL,"Manual: Watchlist desde caso b4ba65d2 (HIGH, Initial Access)",955,2026-06-24,2026-07-18,BE
34.62.230.66,MANUAL,"Manual: Watchlist desde caso 76913b4d (HIGH, Initial Access)",955,2026-06-24,2026-07-18,BE
167.99.254.106,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,DE
74.235.117.101,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,US
147.189.174.15,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,DE
104.28.251.199,HIGH,Initial Access · T1190 · T1190,586,2026-06-28,2026-07-21,US
20.59.242.2,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
52.157.33.33,HIGH,Initial Access · T1190 · T1190,586,2026-06-28,2026-07-21,US
52.154.21.48,HIGH,Initial Access · T1190 · T1190,586,2026-06-28,2026-07-21,US
167.86.80.37,HIGH,Execution · T1203 · T1203,586,2026-06-28,2026-07-21,DE
39.98.174.28,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,CN
40.124.185.212,HIGH,Initial Access · T1190 · T1190,586,2026-06-28,2026-07-21,US
104.155.56.195,HIGH,Initial Access · T1566 · T1566,840,2026-06-27,2026-07-20,BE
35.195.6.241,HIGH,Initial Access · T1566 · T1566,956,2026-06-24,2026-07-18,BE
193.32.209.243,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,GB
45.153.34.219,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,NL
66.132.224.88,HIGH,Initial Access · T1190 · T1190,1698,2026-06-12,2026-08-04,US
35.195.204.234,HIGH,Initial Access · T1566 · T1566,841,2026-07-12,2026-08-04,BE
165.227.188.42,HIGH,Initial Access · T1566 · T1566,735,2026-07-09,2026-08-01,US
35.195.29.227,HIGH,Initial Access · T1566 · T1566,629,2026-07-09,2026-08-01,BE
66.132.172.129,MANUAL,"Manual: Watchlist desde caso 932b9aac (HIGH, Initial Access)",955,2026-06-24,2026-07-18,US
66.132.195.81,MANUAL,"Manual: Watchlist desde caso 487b1fa0 (HIGH, Initial Access)",840,2026-06-27,2026-07-20,US
66.132.195.115,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,US
172.233.20.117,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,BR
16.58.56.214,HIGH,Initial Access · T1566 · T1566,840,2026-06-27,2026-07-20,US
45.148.10.67,HIGH,Initial Access · T1190 · T1190,956,2026-06-24,2026-07-18,NL
199.45.154.135,HIGH,Initial Access · T1190 · T1190,955,2026-06-24,2026-07-18,US
103.174.242.99,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,IN
107.150.117.127,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,DE
87.106.162.116,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,DE
223.85.251.47,HIGH,Execution · T1203 · T1203,927,2026-07-09,2026-08-02,CN
31.14.254.126,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,GB
213.209.159.223,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,TW
149.118.49.109,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,SG
24.144.83.228,MANUAL,"Manual: Watchlist desde caso 5f404677 (HIGH, Initial Access)",840,2026-06-27,2026-07-20,US
182.116.92.101,HIGH,Initial Access · T1190 · T1190,888,2026-06-26,2026-07-20,CN
172.184.219.219,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,US
115.124.124.163,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,IN
181.10.144.116,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,AR
35.233.49.37,HIGH,Initial Access · T1190 · T1190,888,2026-06-26,2026-07-20,BE
160.191.101.139,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,VN
45.33.65.239,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,US
66.187.5.199,HIGH,Initial Access · T1190 · T1190,888,2026-06-26,2026-07-20,US
72.255.18.2,HIGH,Initial Access · T1190 · T1190,888,2026-06-26,2026-07-20,PK
122.50.1.153,HIGH,Initial Access · T1190 · T1190,956,2026-06-24,2026-07-18,PK
176.65.139.33,HIGH,Execution · T1203 · T1203,955,2026-06-24,2026-07-18,LU
34.76.15.206,HIGH,Initial Access · T1190 · T1190,955,2026-06-24,2026-07-18,BE
66.132.172.220,MANUAL,"Manual: Watchlist desde caso 76d1450d (HIGH, Initial Access)",955,2026-06-24,2026-07-18,US
66.132.186.203,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
66.132.195.69,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
66.132.172.182,HIGH,Initial Access · T1190 · T1190,731,2026-06-12,2026-07-19,US
66.132.186.184,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
66.132.195.88,HIGH,Initial Access · T1190 · T1190,955,2026-06-24,2026-07-18,US
192.3.67.114,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,IE
159.223.99.71,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
46.101.248.64,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,DE
71.6.240.197,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
144.225.6.182,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
34.156.211.244,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,BE
39.70.183.42,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,CN
125.44.154.100,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,CN
34.62.126.245,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,BE
190.196.253.104,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,AR
172.105.23.52,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,CA
107.172.57.42,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
35.205.31.212,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,BE
183.222.14.9,HIGH,Execution · T1203 · T1203,602,2026-06-26,2026-07-19,CN
103.45.143.73,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,CN
103.174.243.211,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,IN
14.1.104.149,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,PK
185.177.72.17,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,FR
175.107.237.99,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,PK
14.103.10.167,HIGH,Execution · T1203 · T1203,602,2026-06-26,2026-07-19,CN
212.227.235.203,HIGH,Execution · T1203 · T1203,602,2026-06-26,2026-07-19,ES
185.182.186.243,HIGH,Execution · T1203 · T1203,602,2026-06-26,2026-07-19,FR
67.225.140.37,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
185.177.72.30,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,FR
59.96.136.221,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,IN
154.253.119.180,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,DZ
20.161.30.195,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
89.217.231.108,HIGH,Execution · T1203 · T1203,602,2026-06-26,2026-07-19,CH
218.161.62.161,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,TW
27.37.101.154,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,CN
20.46.225.117,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
45.79.192.230,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
5.226.140.120,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,GB
172.203.245.49,HIGH,Initial Access · T1190 · T1190,927,2026-07-09,2026-08-02,US
45.79.207.111,MANUAL,"Manual: Watchlist desde caso d64f0b1b (HIGH, Initial Access)",955,2026-06-24,2026-07-18,US
45.33.12.214,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,US
66.228.62.150,HIGH,Initial Access · T1190 · T1190,888,2026-06-26,2026-07-20,US
119.160.215.53,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,PK
